agent_type,subject_ID,modelrun_ID,game_name,game_level,episode_number,event_name,count
DDQN,NA,NA,aliens,0,0,"('alienBlue', 'portalSlow')",150
DDQN,NA,NA,aliens,0,0,"('ENDOFSCREEN', 'avatar')",211
DDQN,NA,NA,aliens,0,0,"('avatar', 'sam')",24
DDQN,NA,NA,aliens,0,0,"('ENDOFSCREEN', 'sam')",24
DDQN,NA,NA,aliens,0,0,"('alienBlue', 'bomb')",99
DDQN,NA,NA,aliens,0,0,"('base', 'bomb')",30
DDQN,NA,NA,aliens,0,0,"('ENDOFSCREEN', 'bomb')",45
DDQN,NA,NA,aliens,0,0,"('ENDOFSCREEN', 'alienBlue')",45
DDQN,NA,NA,aliens,0,0,"('alienBlue', 'sam')",12
DDQN,NA,NA,aliens,0,0,"('alienBlue', 'base')",4
DDQN,NA,NA,aliens,0,0,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,0,1,"('alienBlue', 'portalSlow')",143
DDQN,NA,NA,aliens,0,1,"('alienBlue', 'bomb')",82
DDQN,NA,NA,aliens,0,1,"('base', 'bomb')",29
DDQN,NA,NA,aliens,0,1,"('avatar', 'sam')",21
DDQN,NA,NA,aliens,0,1,"('base', 'sam')",4
DDQN,NA,NA,aliens,0,1,"('ENDOFSCREEN', 'sam')",16
DDQN,NA,NA,aliens,0,1,"('ENDOFSCREEN', 'avatar')",81
DDQN,NA,NA,aliens,0,1,"('ENDOFSCREEN', 'alienBlue')",30
DDQN,NA,NA,aliens,0,1,"('alienBlue', 'sam')",6
DDQN,NA,NA,aliens,0,1,"('ENDOFSCREEN', 'bomb')",25
DDQN,NA,NA,aliens,0,1,"('alienBlue', 'base')",4
DDQN,NA,NA,aliens,0,1,"('bomb', 'sam')",1
DDQN,NA,NA,aliens,0,1,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,0,2,"('alienBlue', 'portalSlow')",62
DDQN,NA,NA,aliens,0,2,"('alienBlue', 'bomb')",12
DDQN,NA,NA,aliens,0,2,"('base', 'bomb')",5
DDQN,NA,NA,aliens,0,2,"('avatar', 'sam')",10
DDQN,NA,NA,aliens,0,2,"('base', 'sam')",4
DDQN,NA,NA,aliens,0,2,"('ENDOFSCREEN', 'sam')",5
DDQN,NA,NA,aliens,0,2,"('ENDOFSCREEN', 'bomb')",1
DDQN,NA,NA,aliens,0,2,"('ENDOFSCREEN', 'avatar')",21
DDQN,NA,NA,aliens,0,2,"('ENDOFSCREEN', 'alienBlue')",4
DDQN,NA,NA,aliens,0,2,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,0,3,"('alienBlue', 'portalSlow')",157
DDQN,NA,NA,aliens,0,3,"('avatar', 'sam')",23
DDQN,NA,NA,aliens,0,3,"('base', 'sam')",10
DDQN,NA,NA,aliens,0,3,"('ENDOFSCREEN', 'sam')",13
DDQN,NA,NA,aliens,0,3,"('alienBlue', 'bomb')",50
DDQN,NA,NA,aliens,0,3,"('base', 'bomb')",18
DDQN,NA,NA,aliens,0,3,"('ENDOFSCREEN', 'bomb')",15
DDQN,NA,NA,aliens,0,3,"('ENDOFSCREEN', 'avatar')",89
DDQN,NA,NA,aliens,0,3,"('ENDOFSCREEN', 'alienBlue')",25
DDQN,NA,NA,aliens,0,3,"('alienBlue', 'base')",3
DDQN,NA,NA,aliens,0,3,"('alienBlue', 'sam')",2
DDQN,NA,NA,aliens,0,3,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,0,4,"('alienBlue', 'portalSlow')",129
