Namespace(trial_num=1, batch_size=32, lr=0.00025, gamma=0.999, eps_start=1, eps_end=0.1, eps_decay=200.0, target_update=100, img_size=64, num_episodes=20000, max_steps=1000000.0, max_mem=50000, model_name='DQN', model_weight_path=None, test_mode=0, pretrain=0, cuda=1, doubleq=1, level_switch='sequential', timeout=2000, criteria='1/1', game_name='aliens', num_trials=1, random_seed=7)
Game: aliens
device = cpu, Training at seed = 1
Training Starting
-------------------------
/content/1016-final-project-Aline-game/player.py:191: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at ../aten/src/ATen/native/IndexingUtils.h:27.)
  next_state_values[non_final_mask] = self.target_net(non_final_next_states).gather(1,
Level 0, rounds 0, episode use 224 step earn 3 rewards in 16.021455764770508 seconds
Level 0, rounds 1, episode use 656 step earn 17 rewards in 46.92336845397949 seconds
Level 0, rounds 2, episode use 1089 step earn 22 rewards in 77.88196468353271 seconds
Level 0, rounds 3, episode use 1399 step earn 24 rewards in 100.12045621871948 seconds
Level 0, rounds 4, episode use 1693 step earn 7 rewards in 121.46781539916992 seconds
Level 0, rounds 5, episode use 1939 step earn 19 rewards in 139.40132021903992 seconds
Level 0, rounds 6, episode use 2181 step earn 18 rewards in 157.3614432811737 seconds
Level 0, rounds 7, episode use 2557 step earn 35 rewards in 184.5371470451355 seconds
Level 0, rounds 8, episode use 2698 step earn 10 rewards in 194.84583020210266 seconds
Level 0, rounds 9, episode use 3213 step earn 32 rewards in 231.79167199134827 seconds
Level 0, rounds 10, episode use 3612 step earn 22 rewards in 260.4994170665741 seconds
Level 0, rounds 11, episode use 3999 step earn 13 rewards in 288.1440396308899 seconds
Level 0, rounds 12, episode use 4310 step earn 17 rewards in 310.2143361568451 seconds
Level 0, rounds 13, episode use 4433 step earn 12 rewards in 318.93815207481384 seconds
Level 0, rounds 14, episode use 4731 step earn 22 rewards in 340.065895318985 seconds
Level 0, rounds 15, episode use 5209 step earn 23 rewards in 374.07826352119446 seconds
Level 0, rounds 16, episode use 5550 step earn 20 rewards in 397.9728307723999 seconds
Level 0, rounds 17, episode use 5742 step earn 11 rewards in 411.53061628341675 seconds
Level 0, rounds 18, episode use 5916 step earn 6 rewards in 423.9842872619629 seconds
Level 0, rounds 19, episode use 6122 step earn 11 rewards in 438.47897815704346 seconds
Level 0, rounds 20, episode use 6505 step earn 15 rewards in 465.68941926956177 seconds
Level 0, rounds 21, episode use 6752 step earn 11 rewards in 483.2824640274048 seconds
Level 0, rounds 22, episode use 7247 step earn 28 rewards in 518.4477028846741 seconds
Level 0, rounds 23, episode use 7515 step earn 14 rewards in 537.5471494197845 seconds
Level 0, rounds 24, episode use 7706 step earn 2 rewards in 551.5238943099976 seconds
Level 0, rounds 25, episode use 7887 step earn 2 rewards in 564.5379333496094 seconds
Level 0, rounds 26, episode use 8150 step earn 12 rewards in 583.3549144268036 seconds
Level 0, rounds 27, episode use 8513 step earn 20 rewards in 609.6784765720367 seconds
Level 0, rounds 28, episode use 8837 step earn 15 rewards in 632.6667535305023 seconds
Level 0, rounds 29, episode use 9280 step earn 28 rewards in 663.8760437965393 seconds
Level 0, rounds 30, episode use 9610 step earn 12 rewards in 687.0201561450958 seconds
Level 0, rounds 31, episode use 10418 step earn 39 rewards in 743.3765773773193 seconds
Level 0, rounds 32, episode use 11021 step earn 20 rewards in 785.8020541667938 seconds
Level 0, rounds 33, episode use 11374 step earn 18 rewards in 810.5915801525116 seconds
Level 0, rounds 34, episode use 12090 step earn 30 rewards in 860.7840986251831 seconds
Level 0, rounds 35, episode use 12518 step earn 20 rewards in 891.3226926326752 seconds
Level 0, rounds 36, episode use 12895 step earn 10 rewards in 918.0100834369659 seconds
Level 0, rounds 37, episode use 13072 step earn 2 rewards in 930.7227444648743 seconds
Level 0, rounds 38, episode use 13394 step earn 7 rewards in 953.5616571903229 seconds
Level 0, rounds 39, episode use 13964 step earn 22 rewards in 994.3617827892303 seconds
Level 0, rounds 40, episode use 14287 step earn 10 rewards in 1017.4203987121582 seconds
Level 0, rounds 41, episode use 14583 step earn 7 rewards in 1038.3663666248322 seconds
Level 0, rounds 42, episode use 15078 step earn 16 rewards in 1073.6537709236145 seconds
Level 0, rounds 43, episode use 15175 step earn 1 rewards in 1080.559446811676 seconds
Level 0, rounds 44, episode use 15494 step earn 5 rewards in 1103.145198583603 seconds
Level 0, rounds 45, episode use 15670 step earn 1 rewards in 1115.7224326133728 seconds
Level 0, rounds 46, episode use 16575 step earn 33 rewards in 1181.0515146255493 seconds
Level 0, rounds 47, episode use 16880 step earn 11 rewards in 1203.440839290619 seconds
Level 0, rounds 48, episode use 17105 step earn 5 rewards in 1219.8277127742767 seconds
Level 0, rounds 49, episode use 17362 step earn 7 rewards in 1238.3725454807281 seconds
Level 0, rounds 50, episode use 17571 step earn 4 rewards in 1253.517751455307 seconds
Level 0, rounds 51, episode use 18117 step earn 11 rewards in 1292.8594028949738 seconds
Level 0, rounds 52, episode use 18541 step earn 23 rewards in 1323.4893164634705 seconds
Level 0, rounds 53, episode use 18666 step earn 1 rewards in 1332.5712411403656 seconds
Level 0, rounds 54, episode use 18923 step earn 7 rewards in 1351.0243248939514 seconds
Level 0, rounds 55, episode use 19069 step earn 1 rewards in 1361.5786771774292 seconds
